Source,Target,Weight
Dubia,International literature,109
Dinamov,International literature,7
Lunacharsky,International literature,5
Leschnitzer,International literature,2
Kelin,International literature,1
Nizan,International literature,3
Durus,International literature,3
Carmon,International literature,3
Becher,International literature,1
Dmitrievski,International literature,1
Babel,International literature,5
Tretyakov,International literature,3
Ludkiewicz,International literature,2
Ottwald,International literature,2
Hughes,International literature,1
Rolland,International literature,1
Gide,International literature,1
Bredel,International literature,2
Chernyshevsky,International literature,5
Bloch,International literature,1
Richter,International literature,2
Wolf,International literature,4
Seghers,International literature,2
Gergely,International literature,4
Schmuckle,International literature,1
Alberti,International literature,2
Nikulin,International literature,2
Olesha,International literature,2
Joyce,International literature,1
Svyatopolk-Mirsky,International literature,2
Lukacs,International literature,1
Dun,International literature,1
Benavides,International literature,1
Plievier,International literature,1
Gorki,International literature,1
Kassil,International literature,1
Strachey,International literature,1
Kisch,International literature,1
Pilniak,International literature,2
Scharrer,International literature,1
Seifullina,International literature,3
Last,International literature,1
Gladkov,International literature,2
Smedley,International literature,1
Masereel,International literature,2
Pesis ,International literature,1
Zech,International literature,1
Elistratova,International literature,1
Kensaku,International literature,1
Queens,International literature,2
Vildrac,International literature,1
D.,International literature,3
Stalin,International literature,1
Razumovskaya,International literature,2
Rein,International literature,2
Ostrovsky,International literature,1
Kataev Ivan,International literature,2
Calmer,International literature,2
Pogodin,International literature,1
Kurella,International literature,1
Zoshchenko,International literature,2
Koltsov,International literature,1
Inber,International literature,1
Kalar,International literature,1
Fedin,International literature,1
Cezarec,International literature,1
Guehenno,International literature,1
Fried,International literature,1
Tikhonov,International literature,1
Kim,International literature,1
Ellis,International literature,2
Clay,International literature,2
Bakushinskii,International literature,1
Spear,International literature,2
Balk,International literature,1
Brown,International literature,3
Lenin,International literature,2
Rubinstein,International literature,1
Vogeler,International literature,2
Gordon,International literature,1
Weiskopf,International literature,1
Orozco,International literature,3
Bruck,International literature,1
Zinoviev,International literature,1
Krieger,International literature,1
Lan–Tchi,International literature,1
Steele,International literature,1
Gerassimova,International literature,1
Lidine,International literature,1
Mindline,International literature,1
Selivanovski,International literature,1
Moor,International literature,1
Troschenko,International literature,1
Nechkina,International literature,1
El-Reguistan,International literature,1
Korneichuk,International literature,1
Dimitrov,International literature,1
Dobranov,International literature,1
Illes,International literature,1
Borachvostov,International literature,1
